establNumber,operatorName,locationAddress,geoAdddress,mailingAddress,functionCodes,telephoneNumber
347,LES PLATS DU CHEF ULCAlso Doing Business As Name:   CUISINE ADVENTURES; PLATS DU CHEF; JONATHAN T,51; RUE KESMARK   DOLLARD-DES-ORMEAUX QC H9B 3J1,"45.4841885, -73.8013569",1700-666 BURRARD STREET PARK PLACE  VANCOUVER BC V6C 2X8, 6fx 11D,(514) 685-9955 (514) 685-2602/F
348,MAXI CANADA INC.,688 RUE DU PARC   ST-LIN-LAURENTIDES QC J5M 3B4,"45.859116, -73.75161419999999",   , 6f 9B/US 11AD,(450) 439-2500 (450) 439-6500/F
350,PETER THE CHEF FINE FOOD LIMITED,401 HUMBERLINE DR.; SUITE #4   TORONTO ON M9W 6Y4,"43.745252, -79.620671",   , 6fx 11D,(416) 674-5800 (416) 675-2027/F (416) 674-5800
351,GRAND RIVER FOODS LTD.,31100 WHEEL AVE.   ABBOTSFORD BC V2T 6G8,"49.043539, -122.3627811",   , 6fx 11AD,(604) 852-3760 (604) 852-5969/F (604) 852-7254/I
352A,CARDINAL MEAT SPECIALISTS LIMITED,2396 STANFIELD ROAD   MISSISSAUGA ON L4Y 1S1,"43.598762, -79.58444329999999",   , 3fx 6fx 11D,(905) 279-1733 (905) 279-1323/F
353,PASTIFICIO D'APRILE LTD.Also Doing Business As Name:   PASTA PASTA PASTA : PASTA PERFETTO,125 ANDERSON AVENUE   MARKHAM ON L6E 1A4,"43.9025428, -79.2636196",   , 6fx 11D,(905) 471-0800 (905) 471-3834/F
354,OLYMEL S.E.C/OLYMEL L.PAlso Doing Business As Name:   OLYMEL S.E.C./L.P. : ALIMENTS PRINCE; S.E.C./PRINCE FOODS; L.P. :SUPRALIMENT S.E.C,183; ROUTE DU PRSIDENT-KENNEDY   ST. HENRI QC G0R 3E0,"46.6761275, -71.08830329999999",   , 6fx 11ADFV,(418) 882-2282 (418) 882-5212/F
355,176819 CANADA INC.Also Doing Business As Name:   LES ALIMENTS SPECTRA : SPECTRA FOODS,19150 AVENUE CRUICKSHANK   BAIE D'URF QC H9X 3P1,"45.4282972, -73.90544179999999",   , 4Y,(514) 457-3030 (514) 497-5292/F
356,NEWLY WEDS FOODS CO.,450 SUPERIOR BLVD.   MISSISSAUGA ON L5T 2R9,"43.6502102, -79.689121",   , 6fx 11D,(905) 670-7776 (905) 670-7751/F
356A,OLYMEL S.E.C./OLYMEL L.P.Also Doing Business As Name:   ALPINA SALAMI : SALAMI ALPINA : NOSTRANO : CHARCUTERIE NOUVELLE FRANCE : SANTA CROCE : LA CIE SALAMI VENITIEN MONTREAL : VENITIAN SALAMIE CO MONTREAL : LA COMPAGNIE SALAMI VENITIEN,975 RUE BERLIER;   LAVAL QC H7L 3V4,"45.5891447, -73.7384084",1020 BOUL; MICHELE-BOHEC   BLAINVILLE QC J7C 5E2, 6x,(450) 662-1717 (450) 662-1747/F
357,LES ALIMENTS CHATEL INC.*,383 RUE BRIDGE   MONTREAL QC H3K 2C7,"45.4874927, -73.55470129999999",   , 3x 6x 9B/US 11DA,(514) 935-5446 (514) 935-1528/F (514) 846-7092/I
359,LA FERNANDIERE S.E.CAlso Doing Business As Name:   3RIVERS SAUSAGE,12500; BOULEVARD LOUIS-LORANGER   TROIS-RIVIERES QC G9B 0L9,"46.3391175, -72.6366305",   , 6fx 11D,(819) 374-6977 (819) 374-4473
360,NORTHERN FAMILY HOLDINGS LTD.Also Doing Business As Name:   COUNTRY PRIME MEATS LTD.,DISTRICT LOTS 697;4983;4593;216 LILLOOET DISTRICT  LAC LA HACHE BC V0K 1T1,"51.7407358, -121.6864244",3171 HWY 97   LAC LA HACHE BC V0K 1T1, 6fx 11DS,(250) 396-4111 (250) 396-4110/F
361,FG DELI GROUP LTD.,27101-56TH AVENUE   LANGLEY BC V4W 3Y4,"49.10429380000001, -122.4739456",   , 3fx 6fx 11AD,(604) 607-7426 (604) 607-7461/F
366,7164220 CANADA INC.Also Doing Business As Name:   GLATT'S KOSHER MEAT PRODUCTS; LES PRODUITS DE VIANDE KASCHER GLATT; SHLOIMIE; SHLOIMIE'S,8600 8E AVENUE   MONTRAL QC H1Z 2W4,"45.5657149, -73.6207457",8610 8E AVENUE   MONTREAL QC H1Z 2W4, 3x 6x 11DKL,(514) 274-9477 (514) 274-8073/F
367,OSI SELECT READY FOODS INC.Also Doing Business As Name:   SELECT READY FOODS INC.,8310 YELLOWHEAD TRAIL   EDMONTON AB T5B 1G5,"53.582983, -113.4693938",   , 6fx 11D,(780) 414-2036 (780) 483-1440/F
368,NESTL CANADA INC.,1 DOUGLAS ROAD   TRENTON ON K8V 5S7,"44.128305, -77.58182029999999",P.O. BOX 1800   TRENTON ON K8V 5S7, 6fx 11D,(613) 394-3328 (613) 394-4712/F Ext. 242/I
371,MAPLE LEAF FOODS INC./LES ALIMENTS MAPLE LEAF INC.Also Doing Business As Name:   MAPLE LEAF FOODS/LES ALIMENTS MAPLE LEAF : MAPLE LEAF CONSUMER FOODS/LES ALIMENTS DE CONSOMMATION MAPLE LEAF : MAPLE LEAF FOOD SERVICE/SERVICE ALIMENTAIRE MAPLE LEAF : MAPLE LEAF PORK/PORC MAPLE LEAF : MAPLE LEAF POULTRY/VOLAILLE MAPLE LEAF : SCHNEIDER FOODS/LES ALIMENTS SCHNEIDER : J.M. SCHNEIDER : MITCHELL'S GOURMET FOODS : HUB MEAT PACKERS : LARSEN PACKERS : COLD SPRING FARMS : MAPLE LEAF POTATOES : HUB MEATS/LES VIANDES HUB : CAPPOLA FOOD : THAMES VALLEY PROCESSORS,333 COURTNEY PARK DRIVE; EAST   MISSISSAUGA ON L5T 2T6,"43.6442545, -79.68789029999999",6985 FINANCIAL DRIVE   MISSISSAUGA ON L5N 0A1, 6fx 11AD,(905) 565-9388 (905) 565-1955/F (905) 565-9388/I
373,Premier Kosher Inc.,1607 Abingdon Road   Abingdon ON L0R 1E0,"43.0792554, -79.68423969999999",2659 Industrial Park Road   Smithville ON L0R 2A0,1fj 3f 6f(20; 23),905-961-8357
374,SOFINA FOODS INC./ ALIMENTS SOFINA INC.Also Doing Business As Name:   JANES FAMILY FOODS,3340 ORLANDO DRIVE   MISSISSAUGA ON L4V 1C7,"43.7017988, -79.62167319999999",100 COMMERCE VALLEY DRIVE WEST   MARKHAM ON L3T 0A1, 6f,(905) 673-7145 (   )    -
375,RAMICO FOODS INC.,8245; RUE DU CREUSOT   SAINT-LONARD QC H1P 2A2,"45.59861979999999, -73.58301800000001",   , 2fx 11D,(514) 329-1844 (514) 329-5096/F
377,CHARCUTERIE PARISIENNE INC.*,6910 RUE MARCONI   MONTREAL QC H2S 3K1,"45.53070229999999, -73.6175142",   , 3fx 4Y 6fx,(514) 274-9375 (514) 274-9379/F
378,LES ALIMENTS ROMA LTE/ROMA FOOD PRODUCTS LTD.,660 RUE WRIGHT   SAINT-LAURENT QC H4N 1M6,"45.5295062, -73.6627298",   , 6x 11D,(514) 332-0340 (514) 332-0163 (514) 334-0926/F
379,LES PRODUITS ALIMENTAIRES BOUCHARD INC.,476; RUE ST-ISIDORE   MTABETCHOUAN; LAC-A-LA CROIX QC G8G 2K2,"48.4022708, -71.7864693",   , 3x 6fx,(418) 349-2744 (418) 349-8283/F
380,165368 CANADA INC.Also Doing Business As Name:   PRODUITS ALIMENTAIRES LONG PHUNG : PHU HUONG : ENTREPRISES PHAYNAM,1760; RUE CENTRALE   SAINTE-CATHERINE QC J5C 1G5,"45.3938725, -73.5801078",   , 6x 11A,(450) 638-6933 (450) 638-6941/F
381,PLANWAY POULTRY INC.,26 CANMOTOR AVENUE   TORONTO ON M8Z 4E5,"43.62234840000001, -79.5111348",   , 3f 6f 11DV,(416) 252-7676 (416) 252-0683/F
382,FOOD ROLL SALES (NIAGARA) LTD.,8464 EARL THOMAS AVE.   NIAGARA FALLS ON L2G 0B6,"43.0542473, -79.0876021",   , 3f 6f 11AD,(905) 358-5747 (905) 358-5746/F
383,SJ FINE FOODS LTD.Also Doing Business As Name:   SJ FINE FOODS,827 - 56TH STREET EAST   SASKATOON SK S7K 5Y9,"52.1796581, -106.6535674",   , 6fx,(306) 653-1702 (306) 653-1703/F
384,LES PRODUITS DE VIANDE PAC-RITE INC.*Also Doing Business As Name:   PAC-RITE MEAT PRODUCTS INC.,10045; AVENUE DE BRUXELLES   MONTREAL-NORD QC H1H 4R1,"45.5811527, -73.6354241",   , 3f 6f 11D,(514) 524-3557 (514) 524-7806/F
387A,TRANSPORT LOGI-PRO INC.,9001 RUE DU PARCOURS   ANJOU QC H1J 2Y1,"45.6227414, -73.5674471",   , 7Y 11D,(514) 493-1717 (514) 493-1129/F
390,F. MARIE LIMITED,123 DENISON STREET   MARKHAM ON L3R 1B5,"43.82088539999999, -79.3544833",   , 5Y 9B/US 11HKRSF,(905) 475-0093 (905) 475-0038/F
391,CONESTOGA MEAT PACKERS LTD.,313 MENNO STREET   BRESLAU ON N0B 1M0,"43.472899, -80.39213",   ,1d 3x 5Y 6x 11ADFHQSIVK,(519) 648-2506 (519) 648-3421/F (519) 648-9478/I
394,THUNDER CREEK PORK INC.Also Doing Business As Name:   DONALD'S FINE FOODS : BRITCO PORK INC.,720 LILLOOET STREET WEST   MOOSE JAW SK S6H 8B4,"50.3847751, -105.5520484",720 LILLOOET STREET WEST   MOOSE JAW SK S6H 8B4,1d 3x 6x 11ADFGKQSVI,(306) 693-7675 (306) 693-8608/F
395,WALCOVIT INC.Also Doing Business As Name:   LES VIANDES WALCOVIT,369; DES CORDILLERES   QUBEC QC G1C 4R9,"46.87859700000001, -71.198334",   , 6x 11ADLQV,(418) 666-3058 (418) 666-9590/F
396,2344959 ONTARIO INC.Also Doing Business As Name:   PREMIUM FOODS : ADP DIRECT POULTRY LTD.,42 TABER ROAD   TORONTO ON M9W 3A8,"43.7188299, -79.57849999999999",   , 3fx 6fx 11D,(416) 749-0911 (416) 749-9450/F (   )    -
398,PREMIUM BRANDS OPERATING GP INC.Also Doing Business As Name:   HQ FINE FOODS : QUALITY FAST FOODS,12251 WILLIAM SHORT ROAD (76TH STREET)  EDMONTON AB T5B 2B7,"53.5780663, -113.4556118",   , 6fx 11D,(780) 474-5201 (780) 474-9789/F
400,SOBEY'S CAPITAL INCORPORATEDAlso Doing Business As Name:   SOBEYS WEST INC. - CALGARY COMMISSARY,3440 - 56TH AVENUE SOUTH EAST   CALGARY AB T2C 2C3,"51.0028646, -113.9845899",   , 6fx,(403) 720-4500 (403) 279-2175/I (403) 236-0060/F
407,VITTO BRAND FOODS LIMITED,934 CAMBRIAN HEIGHTS DRIVE   SUDBURY ON P3C 5L8,"46.51443630000001, -80.9858763",   , 6fx,(705) 560-6300 (705) 560-3962/F
409,732840 ONTARIO LIMITEDAlso Doing Business As Name:   PATTY PALACE : PALACE FOODS : MONTEGO BAKERS : PALACE GOURMET FOODS,595 MIDDLEFIELD ROAD UNITS 14; 15; 16; 17; 18  TORONTO ON M1V 3S2,"43.8135529, -79.25786409999999",   , 6fx 11AD,(416) 297-0510 (416) 297-4024/F (416) 297-0510/I
411,R.F.G.  CANADA INC.Also Doing Business As Name:   RICCI FOOD GROUP OF CANADA,50 CLAIREPORT CRESCENT   TORONTO ON M9W 6P4,"43.74586499999999, -79.63248399999999",   , 6fx 11D,(416) 798-9900 (416) 798-9900/I (416) 798-1459/F
413,NORTHFORK BISON DISTRIBUTIONS INC./DISTRIBUTIONS DE BISON NORTHFORK INC.Also Doing Business As Name:   MONTEBELLO WILD BOAR : LES VIANDES CANBEC PLUS INC.: MOUNTAIN CREEK ELK RANCH : NATURAL FRONTIER FOODS,8715 RUE LAFRENAIE   ST-LONARD QC H1P 2B6,"45.6010159, -73.59174070000002",   , 3fx 6fx 11ADFGKRS,(514) 643-4447 (514) 643-2227/F
415,9168-9406 QUEBEC INC.Also Doing Business As Name:   CUISINE AMIR,1033 AUTOROUTE CHOMEDEY(A13)   LAVAL QC H7W 4V3,"45.5332875, -73.7848547",1033 AUTOROUTE CHOMEDEY (A13)   LAVAL QC H7W 4V3, 3fx 6fx 11D,(450) 668-5888 (450) 668-0278
416,PINTY'S DELICIOUS FOODS INC,LOTS 15 & 16; CON. 2 HUMBERSTONE TOWNSHIP  WELLAND COUNTY ON L3K 5V3,"42.9921579, -79.2482555",5063 NORTH SERVICE ROAD;   BURLINGTON ON L7L 5H6,1fi 3f 6f 11DG,(905) 835-8575 (905) 834-7663 (905) 834-5093/F
417,O. BOUCHER ET FILS LIMITEAlso Doing Business As Name:   VIANDES RIENDEAU LTE : LES ENTREPOTS FRIGORIFIQUES RIENDEAU : LES ALIMENTS RIENDEAU INC.,2045; BOUL. ST-ELZAR OUEST   LAVAL QC H7L 3N7,"45.5824289, -73.7527508",   , 3x 6x 11AD,(450) 682-2400 (450) 682-2400/I (450) 682-5041/F
422,CANYON CREEK FOOD COMPANY LTD.Also Doing Business As Name:   CANYON CREEK SOUP COMPANY LTD.,8704-53 AVE   EDMONTON AB T6E 5G2,"53.4903422, -113.4569239",   , 6fx 11DH,(780) 463-2991 (780) 463-5511/F
424,MARSAN FOODS LIMITED,160 THERMOS ROAD   TORONTO ON M1L 4W2,"43.7323546, -79.283329",   , 6fx 11D,(416) 755-9262 (416) 755-6790/F EXT. 275/I
424A,MARSAN FOODS LIMITED,46 MODERN ROAD   TORONTO ON M1R 3B6,"43.74384209999999, -79.285946",160 THERMOS ROAD   TORONTO ON M1L 4W2, 6fx 11D,(416) 755-9263 (416) 759-2852/F (   )    -
425,BONTE FOODS LTD.,615 CHAMPLAIN STREET   DIEPPE NB E1A 7Z7,"46.1000001, -64.7294178",   , 3fx 6fx 11D,(506) 867-0768 (506) 859-6905/F
426,NIKOLAOS FINE FOODS INC.,225 NEBO ROAD; UNIT 5   HAMILTON ON L8W 2E1,"43.1919525, -79.8365822",   , 3f 6f 11D,(905) 388-8074 (905) 388-9084/F
427,1458935 ONTARIO LTD.Also Doing Business As Name:   SHEFA MEATS,195 BRIDGELAND AVE.   TORONTO ON M6A 1Y7,"43.7243901, -79.4666179",   , 3fx 6fx 11D,(416) 783-1293 (416) 783-0240/F
428,FINE CHOICE FOODS LTD.,23111 FRASERWOOD WAY   RICHMOND BC V6V 3B3,"49.1713536, -122.9669575",   , 6fx 11DF,(604) 552-3110 (866) 372-7744/F
429,DONALD'S FINE FOODSAlso Doing Business As Name:   BRITCO PORK INC.,11528 EBURNE WAY; MITCHELL ISLAND WEST  RICHMOND BC V6V 2G7,"49.200395, -123.097212",   , 3fx 6fx 9B/US 11ADFGLMQRSV 12Y,(604) 875-6033 (604) 875-6031/F
430,JD SWEID FOODS (2013) LTD.Also Doing Business As Name:   JD SWEID FOODS,9696 - 199A STREET   LANGLEY BC V1M 2X7,"49.1790143, -122.6679729",   , 6fx 11D,(604) 888-8662 (604) 882-2672 (604) 882-7381/I
431,3681611 CANADA INC.Also Doing Business As Name:   LES VIANDES VALLEYFIELD INC.,414; ROUTE 201 OUEST   ST-STANISLAS DE KOSTKA QC J0S 1W0,"45.17643109999999, -74.0550554",   ,1bcij 11BDKQILP,(450) 371-0421 (450) 371-0426/I (450) 371-3411/F
434,FARM FRESH POULTRY LTD.Also Doing Business As Name:   Farm Fresh Poultry,191 JOHN STREET   HARRISTON ON N0G 1Z0,"43.9082404, -80.86565399999999",191 JOHN ST. N P.O. BOX 729   HARRISTON ON N0G 1Z0,1fi 3f 6f 11D,(519) 338-3200 (519) 338-3276/F
436,SOFINA FOODS INC./ ALIMENTS SOFINA INC.Also Doing Business As Name:   VIENNA MEAT PRODUCTS,170 NUGGET AVENUE   TORONTO ON M1S 3A7,"43.794964, -79.25340299999999",   , 3x 6fx 11AD,(416) 297-1062 (416) 297-0836/F (416) 297-1062/I
437,COLONIAL FARMS LTD.,3830 OKANAGAN STREET   ARMSTRONG BC V0E 1B0,"50.452121, -119.191859",P.O. BOX 9   ARMSTRONG BC V0E 1B0,1f 3f 11DV,(250) 546-3008 (250) 546-6065/F
438,LES SPCIALITS PRODAL (1975) LTEAlso Doing Business As Name:   PREMIER CHEF: DU BRETON: CUISICHEF: AU MENU: TABLE D'HOTE: CUISICHEF AU MENU: LES PRODUITS DE L'ILE D'ORLANS: BOCETIN: LE JARDIN MTIVIER: LES PRODUITS MAISON SAGUENAY LTE : ALIMENTS BRETON (CANADA) INC.: PAYSAN DUBRETON,251; AVENUE BOYER   ST-CHARLES-DE-BELLECHASSE QC G0R 2T0,"46.7703221, -70.938315",   , 6fgx 11AD,(418) 887-3301 (418) 887-5073/F
439,MAPLE LEAF FOODS INC./LES ALIMENTS MAPLE LEAF INC.Also Doing Business As Name:   MAPLE LEAF FOODS/LES ALIMENTS MAPLE LEAF : MAPLE LEAF CONSUMER FOODS/LES ALIMENTS DE CONSOMMATION MAPLE LEAF : MAPLE LEAF FOOD SERVICE/SERVICE ALIMENTAIRE MAPLE LEAF : MAPLE LEAF PORK/PORC MAPLE LEAF : MAPLE LEAF POULTRY/VOLAILLE MAPLE LEAF : SCHNEIDER FOODS/LES ALIMENTS SCHNEIDER : J.M. SCHNEIDER : MITCHELL'S GOURMET FOODS : HUB MEAT PACKERS : LARSEN PACKERS : COLD SPRING FARMS : MAPLE LEAF POTATOES : HUB MEATS/LES VIANDES HUB : CAPPOLA FOOD : THAMES VALLEY PROCESSORSMAPLE LEAF FOODS,1865 PERTH COUNTY ROAD 139   ST. MARY'S ON N4X 1B7,"43.258124, -81.1541273",6985 FINANCIAL DRIVE   MISSISSAUGA ON L5N 0A1,1fi 3f 6f 11ADGV,(519) 285-3940/T (519) 229-6444/I (519) 229-8953/F
440,PRODUITS ALIMENTAIRES ITALIENS MILANO INC.,10548; AVENUE L'ARCHEVEQUE   MONTRAL-NORD QC H1H 3A2,"45.5928452, -73.6258074",   , 6x,(514) 323-2643 (514) 323-2644/F
442,FOOD PROCESSING DEVELOPMENT CENTRE-LEDUCAlso Doing Business As Name:   FOOD PROCESSING DEVELOPMENT CENTRE/AGRIVALUE PROCESSING BUSINESS INCUBATOR,6309 - 45 STREET   LEDUC AB T9E 7C5,"53.2788167, -113.5381631",   , 2fx 3fx 6fx 11AD,(780) 986-4793 (780) 986-5138/F
443,ATLANTIC BEEF PRODUCTS INC.,95 TRAIN STATION ROAD   ALBANY PE C0B 1A0,"46.27149, -63.64055",P.O. BOX 40   ALBANY PE C0B 1A0,1a;h 3x 6x 11ADL,(902) 437-2727 (902) 437-2626/F
444,1076393 ONTARIO LIMITEDAlso Doing Business As Name:   LAZAR YITZCHOK GLATT KOSHER MEATS/LAZAR GOURMET FOODS,477 - 479 CHAMPAGNE DRIVE   TORONTO ON M3J 2C6,"43.7640001, -79.4746013",   , 3fx 6fx 11DL,(416) 636-7730 (416) 636-6532/F (416) 636-7730/I
445,MORRISON LAMOTHE INC.Also Doing Business As Name:   FINE FOODS DIVISION,141 FINCHDENE SQUARE   TORONTO ON M1X 1A7,"43.8195363, -79.232339",5240 FINCH AVENUE EAST; UNIT 2   TORONTO ON M1S 5A2, 6fx 11D,(416) 291-9121 (416) 291-8187/F (416) 291-9121/I
449,DISTRIBUTEURS DES VOLAILLES; BEURRE & OEUFS AKME INC./AKME POULTRY;Also Doing Business As Name:   BUTTER & EGGS DISTRIBUTORS INC.,65 RUE PEPIN   ST-EUSTACHE QC J7R 6Z8,"45.5682757, -73.9157907",   , 3f 6f 9B/US 11D,(450) 974-7767 (450) 974-7714/F
451,JADEE MEAT PRODUCTS LIMITED,4710 BARTLETT ROAD   BEAMSVILLE ON L0R 1B0,"43.1856691, -79.4674711",P.O. BOX 669   BEAMSVILLE ON L0R 1B0, 3x 6x 9B 11AD,(905) 563-5381 (905) 563-5209/I (905) 563-8711/F
452,SOUTH EDMONTON PRODUCE CO. (1978) LTD.,7545 - 72A STREET   EDMONTON AB T6B 1Z3,"53.5116136, -113.4382508",   , 3fx 6fx,(780) 448-7382 (780) 469-9667/F (780) 466-0922/I
454,ABATTOIR ST-GERMAIN INC.,195 RUE MESSIER   ST-GERMAIN-DE-GRANTHAM QC J0C 1K0,"45.8447839, -72.56123149999999",   ,1bcij 6x 11ABCDLQRHM,(819) 395-2826/I (819) 395-4066 (819) 395-5159/F
456,ORVIANDE INC.Also Doing Business As Name:   VIANDE TRADECO / TRADECO MEATS : ORVIANDE +PLUS : VIANDE MONT ROYAL / MONT ROYAL MEATS,11151 RUE MIRABEAU   VILLE D'ANJOU QC H1J 2S2,"45.6183315, -73.58663729999999",   , 3x 11ADFGKQRSVI,(514) 353-1143 (514) 353-4351/F
457,9321-9210 QUBEC INC.Also Doing Business As Name:   SALAISON LVESQUE INC.,500 AVENUE BEAUMONT   MONTREAL QC H3N 1T7,"45.5269153, -73.618262",   , 3x 6x 11AD,(514) 273-1702 (514) 273-2325/F
458,3243222 CANADA INC.*Also Doing Business As Name:   IMAGO FOODS,30 SIMS CRESCENT   RICHMOND HILL ON L4B 2N9,"43.8559473, -79.3805874",2900 MARKHAM ROAD   SCARBOROUGH ON M1X 1E6, 3fx 6fx 11D,(905) 762-1688 (905) 762-1686/F (905) 762-1607/I
459,MAPLE LEAF FOODS INC./LES ALIMENTS MAPLE LEAF INC.Also Doing Business As Name:   ALIMENT CAPPOLA; ALIMENTS MINA; BON APPETIT MEATS; CANA FOODS; CAPPOLA FOOD; CLEARVIEW TURKEY FARMS; COLD SPRINGS FARM; DEVOUR JERKY; DEVOUR MEATS; EMBALLAGES DE VIANDE HUB; EMBALLAGES LARSEN; FERM COLD SPRINGS; FLEETWOOD SAUSAGE; GREENFIELD FOOD PRODUCTS; GREENFIELD; GREENFIELD NATURAL MEATS; GREENFIELD NATURAL MEAT CO.; HORIZON POULTRY; HUB MEAT PACKERS; HUB MEATS; HYGRADE FOODS; J.M. SCHNEIDER; LARSEN PACKERS; LES ALIMENTS DE CONSOMMATION MAPLE LEAF; LES ALIMENTS MAPLE LEAF; LES ALIMENTS SCHNEIDER; LES ALIMENTS SHOPSY'S; LES VIANDES BON APPETIT; LES VIANDES DEVOUR; LES VIANDES HUB; LES VIANDES MAPLE LEAF; LES VOLAILLES MAPLE LEAF; MAPLE LEAF AGRI-FARMS; MAPLE LEAF CONSUMER FOODS; MAPLE LEAF FOOD SERVICE; MAPLE LEAF FOODS; MAPLE LEAF FRESH FOODS; MAPLE LEAF MEATS; MAPLE LEAF PORK; MAPLE LEAF POULTRY; MAPLE LEAF PREPARED MEATS; MINA; MINA FOODS; MITCHELL'S GOURMET FOODS; MOTHER JACKSON'S OPEN KITCHENS; PARADIGM FOOD GROUP; PASTA EXCELLENTE FOODS; PERFECT MANITOBA PULLETS; PRIME POULTRY; PORC MAPLE LEAF; PRODUCEURS THAMES VALLEY; PRODUITS ALIMENTAIRES GREENFIELD; SCHNEIDER FOODS; SERVICE ALIMENTAIRE MAPLE LEAF; SHOPSY'S FOODS; TEND-R-FRESH POULTRY FARMS; THAMES VALLEY PROCESSORS; VANCOUVER FANCY MEATS; VIANDES NATURELLES GREENFIELD; VOLAILLE MAPLE LEAF,2265 DREW ROAD   MISSISSAUGA ON L5S 1E5,"43.69555039999999, -79.6644208",6985 FINANCIAL DRIVE   MISSISSAUGA ON L5N 0A1, 2fx 6x 11AD,(905) 677-7722 (905) 677-6440/F Ext. 234/I
460,FRESHSTONE BRANDS INC.Also Doing Business As Name:   KEYBRANDS FOODS; A DIVISION OF FRESHSTONE BRANDS INC.,1326 VICTORIA STREET NORTH   KITCHENER ON N2B 3E2,"43.4705591, -80.4471001",   , 6fx 11D,(519) 578-2940 (519) 578-4701/F Ext. 232/I
461,BLACK ANGUS FINE MEATS & GAME INC.,207484 HIGHWAY 26 CONC.11 PART LOT 136  THORNBURY ON N0H 2P0,"44.5736161, -80.49088499999999",207484 HIGHWAY #26   THORNBURY ON N0H 2P0, 3fgx 6fgx 11D,(519) 599-2334 (519) 599-2338/F
462,PLAISIRS GASTRONOMIQUES INC.,3735 RUE LA VRENDRYE   BOISBRIAND QC J7H 1R8,"45.6359552, -73.85721029999999",3740 RUE LA VRENDRYE   BOISBRIAND QC J7H 1R5, 6fx,(450) 433-0189 (450) 437-5852/F
464,FILICETTI FOODS INC.,350 GARYRAY DRIVE   TORONTO ON M9L 1P5,"43.768621, -79.54378220000001",   , 3x 6x 11D,(416) 743-2021 (416) 743-3555/F (416) 743-3555/I
466,JACQUES FORGET LTEE.Also Doing Business As Name:   ABATTOIR JACQUES FORGET : LES VIANDES JACQUES FORGET,2215 CHEMIN COMTOIS   TERREBONNE QC J6X 4H4,"45.7293501, -73.71783719999999",   ,1abcdhij 3x 6x 11ADHI,(450) 477-1002 (450) 477-9340/I (450) 477-2838/F
467,R.T. FRESH PREPARED FOODS INC.,315 HUMBERLINE DRIVE   TORONTO ON M9W 5T6,"43.7411687, -79.61881509999999",   , 6fx,(416) 213-1077 (416) 213-1055/F (416) 213-0555/I
468,OLY-ROBI TRANSFORMATION S.E.C.Also Doing Business As Name:   ALIMENTS LUCY PORC,212; CHEMIN DU CANTON S   YAMACHICHE QC G0X 3L0,"46.2891117, -72.8011418",   ,1d 3x 6x 11ADFKQRSV,(819) 296-1754 (819) 296-1273/F
470,CARGILL LIMITED - CARGILL LIMITEAlso Doing Business As Name:   CARGILL MEATS CANADA : CARGILL VALUE ADDED MEATS - CANADA,10 CUDDY BLVD.   LONDON ON N5V 5E3,"43.0202405, -81.1551033",   ,1f 3f 6fx 11ADG,(519) 453-4996 (519) 453-3580/F Ext. 450;451/I
471,RIVERVIEW POULTRY LIMITED,6245 PEARSON STREET   SMITHVILLE ON L0R 2A0,"43.1093513, -79.5338742",   ,1fi 3f,(905) 957-0300 (905) 957-0211/F
473A,SOFINA FOODS INC. / ALIMENTS SOFINA INC.Also Doing Business As Name:   SANTA MARIA FOODS,10 ARMTHORPE ROAD   BRAMPTON ON L6T 5M4,"43.7461866, -79.673546",100 COMMERCE VALLEY WEST   MARKHAM ON L3T 0A1, 3x 6fx 11AD,(905) 790-1991 (905) 494-2321/F (   )    -
475,ABATTOIR DE LUCEVILLE INC.,90 RUE ST-PIERRE EST   STE-LUCE QC G0K 1P0,"48.5315427, -68.33981390000001",   ,1abcdhi 3x 6x 11D,(418) 739-3544 (418) 739-3366/I (418) 739-4206/F
483,NATIONAL AGRI-FOOD TECHNOLOGY CENTREAlso Doing Business As Name:   FOOD DEVELOPMENT CENTRE,810 PHILLIPS STREET   PORTAGE LA PRAIRIE MB R1N 3J9,"49.9710879, -98.3166577",P.O. BOX 1240   PORTAGE LA PRAIRIE MB R1N 3J9, 6x,(204) 239-3150 (204) 239-3180/F
484,ALIMENTS ASTA INC.,767 ROUTE 289   ST-ALEXANDRE QC G0L 2G0,"47.6839462, -69.6269222",767 ROUTE 289   ST-ALEXANDRE QC G0L 2G0,1d 3x 5Y 6x 11ADFGKQSVI,(418) 495-2728 (418) 495-2819/I (418) 495-2879/F
485,SUNASIA B.B.F CO LTD./SUNASIA B.B.F CO LTEAlso Doing Business As Name:   SUNASIA BEST BRAND FOODS CO. LTD.,17665-66A AVE; #306   SURREY BC V3S 2A7,"49.1238184, -122.731421",   , 4Y 6fx,(604) 576-3855 (604) 576-3875/F
489,FLEURY MICHON AMERIQUE INC.Also Doing Business As Name:   DELTA DAILYFOOD (CANADA) INC.; FLEURY MICHON; FLEURY MICHON AMERICA INC.; LES SERVICES ALIMENTAIRES DELTA DAILYFOOD (CANADA) INC.,26 RUE J.-MARC-SEGUIN   RIGAUD QC J0P 1P0,"45.48577, -74.3060157",   , 6fx 11D,(450) 451-6761 (450) 451-5473/F
494,MCALPINE'S CUSTOM MEATS LIMITED,445 ENFIELD ROAD   BURLINGTON ON L7T 2X5,"43.320495, -79.8416603",   , 3x 6x 11DF,(905) 634-7288 (905) 634-9658/F
